term,definition,source_glossary,math_area,scope,extraction_method,section,term_wikilink,is_stub,has_math,has_disambiguation,line_number,definition_wikilinks_count
abelian,An abelian Lie group is a Lie group that is an abelian group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,False,False,12,1
adjoint,"An adjoint representation of a Lie group: ::$\operatorname{Ad} : G \to \operatorname{GL}(\mathfrak g)$ :such that $\operatorname{Ad}(g)$ is the differential at the identity element of the conjugation $c_g : G \to G, x \mapsto g x g^{-1}$.",Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,True,False,16,1
Ado,Ado's theorem: Any finite-dimensional Lie algebra is isomorphic to a subalgebra of $\mathfrak{gl}_V$ for some finite-dimensional vector space V.,Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,True,False,23,1
affine,An affine Lie algebra is a particular type of Kac–Moody algebra.,Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,False,False,26,1
analytic,An analytic subgroup,Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,False,False,30,1
automorphism,An automorphism of a Lie algebra is a linear automorphism preserving the bracket.,Glossary of Lie groups and Lie algebras,algebra,primary,template,A,,False,False,False,33,1
B,"(B, N) pair",Glossary of Lie groups and Lie algebras,algebra,primary,template,B,,False,False,False,40,1
Borel,"Armand Borel (1923 – 2003), a Swiss mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,B,,False,False,False,43,1
Bruhat,Bruhat decomposition,Glossary of Lie groups and Lie algebras,algebra,primary,template,B,,False,False,False,49,1
Cartan,"Élie Cartan (1869 – 1951), a French mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,57,1
Casimir,"Casimir invariant, a distinguished element of a universal enveloping algebra.",Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,66,1
Clebsch–Gordan coefficients,Clebsch–Gordan coefficients,Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,69,1
